workers, n, task_time, accesses, frac, total_time
1, 100, 5000, 1, 0, 0.52242964040488
2, 100, 5000, 1, 0, 0.2853264380246401
4, 100, 5000, 1, 0, 0.1877723503857851
8, 100, 5000, 1, 0, 0.17886565160006285
16, 100, 5000, 1, 0, 0.28885176219046116
32, 100, 5000, 1, 0, 0.5594553174450994
1, 100, 10000, 1, 0, 1.0431095948442817
2, 100, 10000, 1, 0, 0.5405521532520652
4, 100, 10000, 1, 0, 0.31800386868417263
8, 100, 10000, 1, 0, 0.24484711978584528
16, 100, 10000, 1, 0, 0.2862557740882039
32, 100, 10000, 1, 0, 0.6078941598534584
1, 100, 50000, 1, 0, 5.024605847895145
2, 100, 50000, 1, 0, 2.5424608755856752
4, 100, 50000, 1, 0, 1.3215290065854788
8, 100, 50000, 1, 0, 0.7427463037893176
16, 100, 50000, 1, 0, 0.5816740756854415
32, 100, 50000, 1, 0, 0.6631949665024877
