workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.12251703348010778
2, 100, 1000, 1, 0, 0.1377702197059989
4, 100, 1000, 1, 0, 0.1622547311708331
8, 100, 1000, 1, 0, 0.21587214153259993
16, 100, 1000, 1, 0, 0.31953340023756027
32, 100, 1000, 1, 0, 0.6534019457176328
1, 100, 5000, 1, 0, 0.5203021764755249
2, 100, 5000, 1, 0, 0.5415008841082454
4, 100, 5000, 1, 0, 0.568185904994607
8, 100, 5000, 1, 0, 0.6174508798867464
16, 100, 5000, 1, 0, 0.7589368931949139
32, 100, 5000, 1, 0, 0.9772041831165552
1, 100, 10000, 1, 0, 1.0223041400313377
2, 100, 10000, 1, 0, 1.0370053751394153
4, 100, 10000, 1, 0, 1.092563258484006
8, 100, 10000, 1, 0, 1.129266981035471
16, 100, 10000, 1, 0, 1.2347300490364432
32, 100, 10000, 1, 0, 1.5865876208990812
1, 100, 50000, 1, 0, 5.023860902525485
2, 100, 50000, 1, 0, 5.043753155507147
4, 100, 50000, 1, 0, 5.074154514819384
8, 100, 50000, 1, 0, 5.130846384912729
16, 100, 50000, 1, 0, 5.29810275323689
32, 100, 50000, 1, 0, 5.502080701291561
