workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0184391858056188
2, 100, 10000, 1, 0, 0.5228946013376117
4, 100, 10000, 1, 0, 0.29227117728441954
8, 100, 10000, 1, 0, 0.23461911361664534
16, 100, 10000, 1, 0, 0.18511262815445662
32, 100, 10000, 1, 0, 0.35086761973798275
1, 100, 50000, 1, 0, 5.019870347343385
2, 100, 50000, 1, 0, 2.528276768513024
4, 100, 50000, 1, 0, 1.2926910687237978
8, 100, 50000, 1, 0, 0.6944809015840292
16, 100, 50000, 1, 0, 0.49386373069137335
32, 100, 50000, 1, 0, 0.42807778529822826
