workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.1163236666470766
2, 100, 1000, 1, 0, 0.1213217070326209
4, 100, 1000, 1, 0, 0.13655351102352142
8, 100, 1000, 1, 0, 0.20660143438726664
16, 100, 1000, 1, 0, 0.22067161090672016
32, 100, 1000, 1, 0, 0.4007969368249178
1, 100, 5000, 1, 0, 0.5154833951964974
2, 100, 5000, 1, 0, 0.5217346753925085
4, 100, 5000, 1, 0, 0.5365296145901084
8, 100, 5000, 1, 0, 0.57146539632231
16, 100, 5000, 1, 0, 0.6675203293561935
32, 100, 5000, 1, 0, 0.8014266435056925
1, 100, 10000, 1, 0, 1.014972135424614
2, 100, 10000, 1, 0, 1.0236292639747262
4, 100, 10000, 1, 0, 1.0719522573053837
8, 100, 10000, 1, 0, 1.0707421079277992
16, 100, 10000, 1, 0, 1.1305711921304464
32, 100, 10000, 1, 0, 1.3538366379216313
1, 100, 50000, 1, 0, 5.017953492701054
2, 100, 50000, 1, 0, 5.028591638430953
4, 100, 50000, 1, 0, 5.047295260243118
8, 100, 50000, 1, 0, 5.079485128633678
16, 100, 50000, 1, 0, 5.202490224502981
32, 100, 50000, 1, 0, 5.280402075499296
