workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0081369616091251
2, 100, 10000, 1, 0, 0.5071364659816027
4, 100, 10000, 1, 0, 0.26678221579641104
8, 100, 10000, 1, 0, 0.16236082464456558
16, 100, 10000, 1, 0, 0.15119781903922558
32, 100, 10000, 1, 0, 0.33152640890330076
1, 100, 50000, 1, 0, 5.011725482530892
2, 100, 50000, 1, 0, 2.508442143909633
4, 100, 50000, 1, 0, 1.2585550462827086
8, 100, 50000, 1, 0, 0.6542476555332541
16, 100, 50000, 1, 0, 0.4258399847894907
32, 100, 50000, 1, 0, 0.3624314069747925
