workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0325391209917143
2, 100, 10000, 1, 0, 0.5269336580531672
4, 100, 10000, 1, 0, 0.28284402505960315
8, 100, 10000, 1, 0, 0.1560352420201525
16, 100, 10000, 1, 0, 0.3139703560154885
32, 100, 10000, 1, 0, 0.5217698230408132
1, 100, 50000, 1, 0, 5.033944863942452
2, 100, 50000, 1, 0, 2.5160200459649786
4, 100, 50000, 1, 0, 1.2791645680554211
8, 100, 50000, 1, 0, 0.6739338870393112
16, 100, 50000, 1, 0, 0.4316049230983481
32, 100, 50000, 1, 0, 0.3524811897426844
