workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0104962280020118
2, 100, 10000, 1, 0, 0.5109847513958812
4, 100, 10000, 1, 0, 0.26483979262411594
8, 100, 10000, 1, 0, 0.1532661486417055
16, 100, 10000, 1, 0, 0.13027996942400932
32, 100, 10000, 1, 0, 0.1979222558438778
1, 100, 50000, 1, 0, 5.010504546575248
2, 100, 50000, 1, 0, 2.5167212737724185
4, 100, 50000, 1, 0, 1.268319052644074
8, 100, 50000, 1, 0, 0.6541777094826102
16, 100, 50000, 1, 0, 0.41112938337028027
32, 100, 50000, 1, 0, 0.28334606252610683
