workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0285604931414127
2, 100, 10000, 1, 0, 1.0111118135973811
4, 100, 10000, 1, 0, 1.0171318212524056
8, 100, 10000, 1, 0, 1.0293782744556665
16, 100, 10000, 1, 0, 1.0529244346544147
32, 100, 10000, 1, 0, 1.1337454803287983
1, 100, 50000, 1, 0, 5.00964192673564
2, 100, 50000, 1, 0, 5.0131869073957205
4, 100, 50000, 1, 0, 5.020212976261973
8, 100, 50000, 1, 0, 5.032892035320401
16, 100, 50000, 1, 0, 5.099219925701618
32, 100, 50000, 1, 0, 5.103598037734628
