workers, n, task_time, accesses, frac, total_time
1, 1000, 1000, 1, 0, 1.0686048879288137
2, 1000, 1000, 1, 0, 0.5410160087049007
4, 1000, 1000, 1, 0, 0.2841707393527031
8, 1000, 1000, 1, 0, 0.15469871321693063
16, 1000, 1000, 1, 0, 0.09982268419116735
32, 1000, 1000, 1, 0, 0.07699348079040647
1, 1000, 1000, 10, 0, 1.068895481992513
2, 1000, 1000, 10, 0, 0.5482956101186574
4, 1000, 1000, 10, 0, 0.29349023196846247
8, 1000, 1000, 10, 0, 0.18306550290435553
16, 1000, 1000, 10, 0, 0.1367772319354117
32, 1000, 1000, 10, 0, 0.13634205283597112
1, 1000, 5000, 1, 0, 5.076198007911444
2, 1000, 5000, 1, 0, 2.548937833402306
4, 1000, 5000, 1, 0, 1.29727037018165
8, 1000, 5000, 1, 0, 0.6531109027564526
16, 1000, 5000, 1, 0, 0.3412826252169907
32, 1000, 5000, 1, 0, 0.19094836106523871
1, 1000, 5000, 10, 0, 5.079139417037368
2, 1000, 5000, 10, 0, 2.571840424090624
4, 1000, 5000, 10, 0, 1.2900521871633828
8, 1000, 5000, 10, 0, 0.6558335032314062
16, 1000, 5000, 10, 0, 0.3447553841397166
32, 1000, 5000, 10, 0, 0.21048298012465239
1, 1000, 10000, 1, 0, 10.063280017115176
2, 1000, 10000, 1, 0, 5.051041299011558
4, 1000, 10000, 1, 0, 2.537610651925206
8, 1000, 10000, 1, 0, 1.2816993086598814
16, 1000, 10000, 1, 0, 0.6577405277639627
32, 1000, 10000, 1, 0, 0.351611727848649
1, 1000, 10000, 10, 0, 10.10238382825628
2, 1000, 10000, 10, 0, 5.050213226117194
4, 1000, 10000, 10, 0, 2.5457263588905334
8, 1000, 10000, 10, 0, 1.2821569838561118
16, 1000, 10000, 10, 0, 0.6575398468412459
32, 1000, 10000, 10, 0, 0.36704353196546435
1, 1000, 50000, 1, 0, 50.075864342041314
2, 1000, 50000, 1, 0, 25.051791763864458
4, 1000, 50000, 1, 0, 12.542086971923709
8, 1000, 50000, 1, 0, 6.285494782961905
16, 1000, 50000, 1, 0, 3.19614332402125
32, 1000, 50000, 1, 0, 1.6268704440444708
