workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.12697199825197458
2, 100, 1000, 1, 0, 0.09392286650836468
4, 100, 1000, 1, 0, 0.12761770468205214
8, 100, 1000, 1, 0, 0.17441251501441002
16, 100, 1000, 1, 0, 0.3034540209919214
32, 100, 1000, 1, 0, 0.6261729411780834
1, 100, 5000, 1, 0, 0.5248824302107096
2, 100, 5000, 1, 0, 0.2926372615620494
4, 100, 5000, 1, 0, 0.2087518135085702
8, 100, 5000, 1, 0, 0.209857989102602
16, 100, 5000, 1, 0, 0.373551226221025
32, 100, 5000, 1, 0, 0.6942012002691627
1, 100, 10000, 1, 0, 1.0243415692821145
2, 100, 10000, 1, 0, 0.5485647991299629
4, 100, 10000, 1, 0, 0.3448688657954335
8, 100, 10000, 1, 0, 0.28610885329544544
16, 100, 10000, 1, 0, 0.34358818270266056
32, 100, 10000, 1, 0, 0.7072031004354358
1, 100, 50000, 1, 0, 5.027049590833485
2, 100, 50000, 1, 0, 2.5564558254554868
4, 100, 50000, 1, 0, 1.3427142007276416
8, 100, 50000, 1, 0, 0.7902031317353249
16, 100, 50000, 1, 0, 0.7815804732963443
32, 100, 50000, 1, 0, 0.7486023707315326
1, 100, 100000, 1, 0, 10.028631501831114
2, 100, 100000, 1, 0, 5.053395180031657
4, 100, 100000, 1, 0, 2.5954665075987577
8, 100, 100000, 1, 0, 1.4162056455388665
16, 100, 100000, 1, 0, 1.125306449830532
32, 100, 100000, 1, 0, 0.9324252884835005
