workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.12902760691940784
2, 100, 1000, 1, 0, 0.1439630165696144
4, 100, 1000, 1, 0, 0.21574217453598976
8, 100, 1000, 1, 0, 0.2503254897892475
16, 100, 1000, 1, 0, 0.3922476088628173
32, 100, 1000, 1, 0, 0.7117257127538323
1, 100, 5000, 1, 0, 0.559026557020843
2, 100, 5000, 1, 0, 0.5512779718264937
4, 100, 5000, 1, 0, 0.5916641857475042
8, 100, 5000, 1, 0, 0.6544063156470656
16, 100, 5000, 1, 0, 0.8363207411020994
32, 100, 5000, 1, 0, 1.2233911817893386
1, 100, 10000, 1, 0, 1.024170101620257
2, 100, 10000, 1, 0, 1.0534396162256598
4, 100, 10000, 1, 0, 1.088364627212286
8, 100, 10000, 1, 0, 1.1640672767534852
16, 100, 10000, 1, 0, 1.3016632543876767
32, 100, 10000, 1, 0, 1.6782068572938442
1, 100, 50000, 1, 0, 5.024597535841167
2, 100, 50000, 1, 0, 5.052059322595596
4, 100, 50000, 1, 0, 5.097385097295046
8, 100, 50000, 1, 0, 5.1793181002140045
16, 100, 50000, 1, 0, 5.520477435551584
32, 100, 50000, 1, 0, 5.6246732557192445
