workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.11720685474574566
2, 100, 1000, 1, 0, 0.07401861809194088
4, 100, 1000, 1, 0, 0.08844098541885614
8, 100, 1000, 1, 0, 0.08494722284376621
16, 100, 1000, 1, 0, 0.15802143514156342
32, 100, 1000, 1, 0, 0.32573061902076006
1, 100, 5000, 1, 0, 0.5149693032726645
2, 100, 5000, 1, 0, 0.30066853016614914
4, 100, 5000, 1, 0, 0.16984970588237047
8, 100, 5000, 1, 0, 0.13845671340823174
16, 100, 5000, 1, 0, 0.21151510532945395
32, 100, 5000, 1, 0, 0.33897399064153433
1, 100, 10000, 1, 0, 1.014702558517456
2, 100, 10000, 1, 0, 0.5271081300452352
4, 100, 10000, 1, 0, 0.29013829585164785
8, 100, 10000, 1, 0, 0.19750994257628918
16, 100, 10000, 1, 0, 0.24980024341493845
32, 100, 10000, 1, 0, 0.34158720169216394
1, 100, 50000, 1, 0, 5.01959911454469
2, 100, 50000, 1, 0, 2.533026657998562
4, 100, 50000, 1, 0, 1.296719716861844
8, 100, 50000, 1, 0, 0.7014985475689173
16, 100, 50000, 1, 0, 0.5177884194999933
32, 100, 50000, 1, 0, 0.47634804155677557
