workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.11968195624649525
2, 100, 1000, 1, 0, 0.12534215860068798
4, 100, 1000, 1, 0, 0.17944771889597178
8, 100, 1000, 1, 0, 0.1738331187516451
16, 100, 1000, 1, 0, 0.23970412835478783
32, 100, 1000, 1, 0, 0.4171621724963188
1, 100, 5000, 1, 0, 0.5151043655350804
2, 100, 5000, 1, 0, 0.5548786437138915
4, 100, 5000, 1, 0, 0.5464866338297725
8, 100, 5000, 1, 0, 0.5758997090160847
16, 100, 5000, 1, 0, 0.6745167169719934
32, 100, 5000, 1, 0, 0.831226478330791
1, 100, 10000, 1, 0, 1.0150381466373801
2, 100, 10000, 1, 0, 1.0286144111305475
4, 100, 10000, 1, 0, 1.0481130620464683
8, 100, 10000, 1, 0, 1.0809817975386977
16, 100, 10000, 1, 0, 1.189846676774323
32, 100, 10000, 1, 0, 1.365100186318159
1, 100, 50000, 1, 0, 5.0160376550629735
2, 100, 50000, 1, 0, 5.033139820210636
4, 100, 50000, 1, 0, 5.056769120506942
8, 100, 50000, 1, 0, 5.0948262717574835
16, 100, 50000, 1, 0, 5.22298892121762
32, 100, 50000, 1, 0, 5.421701249666512
