workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0091223595663905
2, 100, 10000, 1, 0, 0.5093686711043119
4, 100, 10000, 1, 0, 0.30367899127304554
8, 100, 10000, 1, 0, 0.15748675912618637
16, 100, 10000, 1, 0, 0.13579034246504307
32, 100, 10000, 1, 0, 0.2989517655223608
1, 100, 50000, 1, 0, 5.0109987789765
2, 100, 50000, 1, 0, 2.512590391561389
4, 100, 50000, 1, 0, 1.2625423576682806
8, 100, 50000, 1, 0, 0.645274412818253
16, 100, 50000, 1, 0, 0.4305458702147007
32, 100, 50000, 1, 0, 0.39551126677542925
