workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.10948230419307947
2, 100, 1000, 1, 0, 0.1113445907831192
4, 100, 1000, 1, 0, 0.15392822865396738
8, 100, 1000, 1, 0, 0.13541902601718903
16, 100, 1000, 1, 0, 0.1605706438422203
32, 100, 1000, 1, 0, 0.3045527823269367
1, 100, 5000, 1, 0, 0.5067397616803646
2, 100, 5000, 1, 0, 0.5113388691097498
4, 100, 5000, 1, 0, 0.5111055392771959
8, 100, 5000, 1, 0, 0.5127615788951516
16, 100, 5000, 1, 0, 0.6051234547048807
32, 100, 5000, 1, 0, 0.7125726845115423
1, 100, 10000, 1, 0, 1.0069030746817589
2, 100, 10000, 1, 0, 1.0120162405073643
4, 100, 10000, 1, 0, 1.0123872552067041
8, 100, 10000, 1, 0, 1.0132110761478543
16, 100, 10000, 1, 0, 1.0174280256032944
32, 100, 10000, 1, 0, 1.1748740542680025
1, 100, 50000, 1, 0, 5.008387698791921
2, 100, 50000, 1, 0, 5.015631217509508
4, 100, 50000, 1, 0, 5.014486358501017
8, 100, 50000, 1, 0, 5.014450202696025
16, 100, 50000, 1, 0, 5.145140309818089
32, 100, 50000, 1, 0, 5.065961363725364
