workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0072602019645274
2, 100, 10000, 1, 0, 0.5113521600142121
4, 100, 10000, 1, 0, 0.2812024928862229
8, 100, 10000, 1, 0, 0.1518221910810098
16, 100, 10000, 1, 0, 0.12121855304576457
32, 100, 10000, 1, 0, 0.29891938401851803
1, 100, 50000, 1, 0, 5.007804136956111
2, 100, 50000, 1, 0, 2.5138502279296517
4, 100, 50000, 1, 0, 1.2653179570334032
8, 100, 50000, 1, 0, 0.647262012003921
16, 100, 50000, 1, 0, 0.3993725529871881
32, 100, 50000, 1, 0, 0.35263257601764053
