workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0291465232148767
2, 100, 10000, 1, 0, 1.0116880787536502
4, 100, 10000, 1, 0, 1.043428628705442
8, 100, 10000, 1, 0, 1.0184013126417994
16, 100, 10000, 1, 0, 1.014996468089521
32, 100, 10000, 1, 0, 1.0703663798049092
1, 100, 50000, 1, 0, 5.006767604500055
2, 100, 50000, 1, 0, 5.013342076912522
4, 100, 50000, 1, 0, 5.012445545755327
8, 100, 50000, 1, 0, 5.01412648614496
16, 100, 50000, 1, 0, 5.073810537345707
32, 100, 50000, 1, 0, 5.139207098633051
