workers, n, task_time, accesses, frac, total_time
1, 1000, 1000, 1, 0, 1.0468930476345122
2, 1000, 1000, 1, 0, 0.5444652047008276
4, 1000, 1000, 1, 0, 0.29072425002232194
8, 1000, 1000, 1, 0, 0.15428408421576023
16, 1000, 1000, 1, 0, 0.08814752893522382
32, 1000, 1000, 1, 0, 0.07073803199455142
1, 1000, 1000, 10, 0, 1.0709856399334967
2, 1000, 1000, 10, 0, 0.546705765184015
4, 1000, 1000, 10, 0, 0.3010520418174565
8, 1000, 1000, 10, 0, 0.1991081410087645
16, 1000, 1000, 10, 0, 0.12127122608944774
32, 1000, 1000, 10, 0, 0.12524011684581637
1, 1000, 5000, 1, 0, 5.040063636843115
2, 1000, 5000, 1, 0, 2.5877662007696927
4, 1000, 5000, 1, 0, 1.2849268028512597
8, 1000, 5000, 1, 0, 0.6391146769747138
16, 1000, 5000, 1, 0, 0.3849442107602954
32, 1000, 5000, 1, 0, 0.18321868823841214
1, 1000, 5000, 10, 0, 5.058031735010445
2, 1000, 5000, 10, 0, 2.5618085763417184
4, 1000, 5000, 10, 0, 1.3796269842423499
8, 1000, 5000, 10, 0, 0.656328413169831
16, 1000, 5000, 10, 0, 0.34902171418070793
32, 1000, 5000, 10, 0, 0.19937980128452182
1, 1000, 10000, 1, 0, 10.041589511092752
2, 1000, 10000, 1, 0, 5.214796263258904
4, 1000, 10000, 1, 0, 2.5226009991019964
8, 1000, 10000, 1, 0, 1.2698569549247622
16, 1000, 10000, 1, 0, 0.6413573240861297
32, 1000, 10000, 1, 0, 0.3420797120779753
1, 1000, 10000, 10, 0, 10.058990457095206
2, 1000, 10000, 10, 0, 5.262096193153411
4, 1000, 10000, 10, 0, 2.5424921568483114
8, 1000, 10000, 10, 0, 1.281487979926169
16, 1000, 10000, 10, 0, 0.6574375871568918
32, 1000, 10000, 10, 0, 0.34958194103091955
1, 1000, 50000, 1, 0, 50.03508289903402
2, 1000, 50000, 1, 0, 25.046010857913643
4, 1000, 50000, 1, 0, 12.52707321709022
8, 1000, 50000, 1, 0, 6.447729630861431
16, 1000, 50000, 1, 0, 3.16039359010756
32, 1000, 50000, 1, 0, 1.6132531510666013
1, 1000, 50000, 10, 0, 50.04218980204314
2, 1000, 50000, 10, 0, 25.06903407908976
