workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0146312970900908
2, 100, 10000, 1, 0, 0.5252071199938655
4, 100, 10000, 1, 0, 0.3248623019317165
8, 100, 10000, 1, 0, 0.20680775202345103
16, 100, 10000, 1, 0, 0.19095420103985816
32, 100, 10000, 1, 0, 0.32241810008417815
1, 100, 50000, 1, 0, 5.020508351968601
2, 100, 50000, 1, 0, 2.57392226299271
4, 100, 50000, 1, 0, 1.294352633995004
8, 100, 50000, 1, 0, 0.6977263720473275
16, 100, 50000, 1, 0, 0.468493154970929
32, 100, 50000, 1, 0, 0.5185097840148956
