workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0170421600341797
2, 100, 10000, 1, 0, 1.0276607390260324
4, 100, 10000, 1, 0, 1.0803484750213102
8, 100, 10000, 1, 0, 1.072899061953649
16, 100, 10000, 1, 0, 1.1374554100912064
32, 100, 10000, 1, 0, 2.200861198012717
1, 100, 50000, 1, 0, 5.013941569020972
2, 100, 50000, 1, 0, 5.082907714997418
4, 100, 50000, 1, 0, 5.051584361004643
8, 100, 50000, 1, 0, 5.083849644986913
16, 100, 50000, 1, 0, 5.185562698054127
32, 100, 50000, 1, 0, 10.205224442994222
