workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.1687001595273614
2, 100, 1000, 1, 0, 0.12439622916281223
4, 100, 1000, 1, 0, 0.18425079435110092
8, 100, 1000, 1, 0, 0.27944415993988514
16, 100, 1000, 1, 0, 0.5360456900671124
32, 100, 1000, 1, 0, 1.0371619742363691
1, 100, 5000, 1, 0, 0.5437984699383378
2, 100, 5000, 1, 0, 0.3269219333305955
4, 100, 5000, 1, 0, 0.25448240991681814
8, 100, 5000, 1, 0, 0.3058431055396795
16, 100, 5000, 1, 0, 0.5477122785523534
32, 100, 5000, 1, 0, 1.0542593440040946
1, 100, 10000, 1, 0, 1.043947315774858
2, 100, 10000, 1, 0, 0.5804652022197843
4, 100, 10000, 1, 0, 0.38210024405270815
8, 100, 10000, 1, 0, 0.37868077121675014
16, 100, 10000, 1, 0, 0.5414609331637621
32, 100, 10000, 1, 0, 1.0072862328961492
1, 100, 50000, 1, 0, 5.048076746985316
2, 100, 50000, 1, 0, 2.591598586179316
4, 100, 50000, 1, 0, 1.4744192631915212
8, 100, 50000, 1, 0, 0.8799578733742237
16, 100, 50000, 1, 0, 0.786535007879138
32, 100, 50000, 1, 0, 1.0950610479339957
1, 100, 100000, 1, 0, 10.052373197861016
2, 100, 100000, 1, 0, 5.166471002623439
4, 100, 100000, 1, 0, 2.6570929270237684
8, 100, 100000, 1, 0, 1.5200583636760712
16, 100, 100000, 1, 0, 1.1068628076463938
32, 100, 100000, 1, 0, 1.1852726638317108
