workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.1455399738624692
2, 100, 1000, 1, 0, 0.17374044843018055
4, 100, 1000, 1, 0, 0.27292090002447367
8, 100, 1000, 1, 0, 0.34813704062253237
16, 100, 1000, 1, 0, 0.567603837698698
32, 100, 1000, 1, 0, 1.0706544937565923
1, 100, 5000, 1, 0, 0.5432175025343895
2, 100, 5000, 1, 0, 0.5737242558971047
4, 100, 5000, 1, 0, 0.6417846027761698
8, 100, 5000, 1, 0, 0.7498086513951421
16, 100, 5000, 1, 0, 1.0143847772851586
32, 100, 5000, 1, 0, 1.3760034879669547
1, 100, 10000, 1, 0, 1.0428134324029088
2, 100, 10000, 1, 0, 1.0856594201177359
4, 100, 10000, 1, 0, 1.1734511265531182
8, 100, 10000, 1, 0, 1.2654492314904928
16, 100, 10000, 1, 0, 1.48554003611207
32, 100, 10000, 1, 0, 1.9099719934165478
1, 100, 50000, 1, 0, 5.043577644973993
2, 100, 50000, 1, 0, 5.092016648501158
4, 100, 50000, 1, 0, 5.158148843795061
8, 100, 50000, 1, 0, 5.287558259442449
16, 100, 50000, 1, 0, 5.525210915133357
32, 100, 50000, 1, 0, 5.9748251447454095
1, 100, 100000, 1, 0, 10.051260452717543
2, 100, 100000, 1, 0, 10.101059315726161
4, 100, 100000, 1, 0, 10.162551140412688
8, 100, 100000, 1, 0, 10.294075638987124
16, 100, 100000, 1, 0, 10.534758069552481
32, 100, 100000, 1, 0, 11.001712088473141
