workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.1365001406520605
2, 100, 1000, 1, 0, 0.1064724512398243
4, 100, 1000, 1, 0, 0.14928880613297224
8, 100, 1000, 1, 0, 0.1971543375402689
16, 100, 1000, 1, 0, 0.3952075904235244
32, 100, 1000, 1, 0, 0.7545999269932508
1, 100, 5000, 1, 0, 0.5349669670686126
2, 100, 5000, 1, 0, 0.3062456250190735
4, 100, 5000, 1, 0, 0.23213147092610598
8, 100, 5000, 1, 0, 0.2358969897031784
16, 100, 5000, 1, 0, 0.3933627838268876
32, 100, 5000, 1, 0, 0.800139538012445
1, 100, 10000, 1, 0, 1.0395800909027457
2, 100, 10000, 1, 0, 0.561569650657475
4, 100, 10000, 1, 0, 0.34518227353692055
8, 100, 10000, 1, 0, 0.33109874930232763
16, 100, 10000, 1, 0, 0.39207710698246956
32, 100, 10000, 1, 0, 0.8153327135369182
1, 100, 50000, 1, 0, 5.040085311979055
2, 100, 50000, 1, 0, 2.5760389510542154
4, 100, 50000, 1, 0, 1.3622479820623994
8, 100, 50000, 1, 0, 0.8109723478555679
16, 100, 50000, 1, 0, 0.6504163108766079
32, 100, 50000, 1, 0, 0.9214033968746662
1, 100, 100000, 1, 0, 10.043585659004748
2, 100, 100000, 1, 0, 5.070179434493184
4, 100, 100000, 1, 0, 2.6199137289077044
8, 100, 100000, 1, 0, 1.4432119438424706
16, 100, 100000, 1, 0, 0.9667140003293753
32, 100, 100000, 1, 0, 1.1031318483874202
