workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.1358299721032381
2, 100, 1000, 1, 0, 0.15500899497419596
4, 100, 1000, 1, 0, 0.2348215114325285
8, 100, 1000, 1, 0, 0.27026237454265356
16, 100, 1000, 1, 0, 0.4281637780368328
32, 100, 1000, 1, 0, 0.7939424375072122
1, 100, 5000, 1, 0, 0.5336097190156579
2, 100, 5000, 1, 0, 0.5648133279755712
4, 100, 5000, 1, 0, 0.5984156224876642
8, 100, 5000, 1, 0, 0.676769969984889
16, 100, 5000, 1, 0, 0.8601999850943685
32, 100, 5000, 1, 0, 1.182556732557714
1, 100, 10000, 1, 0, 1.0336091043427587
2, 100, 10000, 1, 0, 1.0623526759445667
4, 100, 10000, 1, 0, 1.1486572632566094
8, 100, 10000, 1, 0, 1.1859608413651586
16, 100, 10000, 1, 0, 1.3368008397519588
32, 100, 10000, 1, 0, 1.7394084371626377
1, 100, 50000, 1, 0, 5.036196974106133
2, 100, 50000, 1, 0, 5.074975076131523
4, 100, 50000, 1, 0, 5.1119464337825775
8, 100, 50000, 1, 0, 5.202231368049979
16, 100, 50000, 1, 0, 5.371989595703781
32, 100, 50000, 1, 0, 5.804253959096968
1, 100, 100000, 1, 0, 10.05415471084416
2, 100, 100000, 1, 0, 10.080786102451384
4, 100, 100000, 1, 0, 10.128725943155587
8, 100, 100000, 1, 0, 10.206718076951802
16, 100, 100000, 1, 0, 10.395811922848225
32, 100, 100000, 1, 0, 10.836965342983603
