workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.12582692597061396
2, 100, 1000, 1, 0, 0.13557039014995098
4, 100, 1000, 1, 0, 0.17025874461978674
8, 100, 1000, 1, 0, 0.2573377350345254
16, 100, 1000, 1, 0, 0.46669572219252586
32, 100, 1000, 1, 0, 0.7650350863113999
1, 100, 5000, 1, 0, 0.5244995960965753
2, 100, 5000, 1, 0, 0.31023271940648556
4, 100, 5000, 1, 0, 0.3720300830900669
8, 100, 5000, 1, 0, 0.4416916035115719
16, 100, 5000, 1, 0, 0.5085042184218764
32, 100, 5000, 1, 0, 0.7720066886395216
1, 100, 10000, 1, 0, 1.0265191392973065
2, 100, 10000, 1, 0, 1.0365570187568665
4, 100, 10000, 1, 0, 0.6326965782791376
8, 100, 10000, 1, 0, 0.6104834657162428
16, 100, 10000, 1, 0, 0.640486428514123
32, 100, 10000, 1, 0, 0.9413812523707747
1, 100, 50000, 1, 0, 5.028828366659582
2, 100, 50000, 1, 0, 2.5738065019249916
4, 100, 50000, 1, 0, 2.6482164431363344
8, 100, 50000, 1, 0, 2.0526839457452297
16, 100, 50000, 1, 0, 1.4874790282920003
32, 100, 50000, 1, 0, 0.765235292725265
1, 100, 100000, 1, 0, 10.100301755592227
2, 100, 100000, 1, 0, 5.079393743537366
4, 100, 100000, 1, 0, 5.082421449944377
8, 100, 100000, 1, 0, 3.8479103296995163
16, 100, 100000, 1, 0, 2.5404254533350468
32, 100, 100000, 1, 0, 0.8813766818493605
