workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.1360759073868394
2, 100, 1000, 1, 0, 0.15573105867952108
4, 100, 1000, 1, 0, 0.23562709335237741
8, 100, 1000, 1, 0, 0.275140592828393
16, 100, 1000, 1, 0, 0.43145245499908924
32, 100, 1000, 1, 0, 0.7936232900246978
1, 100, 5000, 1, 0, 0.534009519033134
2, 100, 5000, 1, 0, 0.5599193116649985
4, 100, 5000, 1, 0, 0.6014662804082036
8, 100, 5000, 1, 0, 0.6770224086940289
16, 100, 5000, 1, 0, 0.8639054829254746
32, 100, 5000, 1, 0, 1.220727577805519
1, 100, 10000, 1, 0, 1.0339926313608885
2, 100, 10000, 1, 0, 1.0632508201524615
4, 100, 10000, 1, 0, 1.1511327978223562
8, 100, 10000, 1, 0, 1.1820354955270886
16, 100, 10000, 1, 0, 1.3362497063353658
32, 100, 10000, 1, 0, 1.7847381960600615
1, 100, 50000, 1, 0, 5.035276925191283
2, 100, 50000, 1, 0, 5.071257876232266
4, 100, 50000, 1, 0, 5.1198847237974405
8, 100, 50000, 1, 0, 5.203307046554983
16, 100, 50000, 1, 0, 5.379033008590341
32, 100, 50000, 1, 0, 5.828463664278388
1, 100, 100000, 1, 0, 10.039503106847405
2, 100, 100000, 1, 0, 10.076900915242732
4, 100, 100000, 1, 0, 10.124372846446931
8, 100, 100000, 1, 0, 10.215904756449163
16, 100, 100000, 1, 0, 10.386517709121108
32, 100, 100000, 1, 0, 10.852902979589999
