workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0211227415129542
2, 100, 10000, 1, 0, 0.5664156218990684
4, 100, 10000, 1, 0, 0.3503887727856636
8, 100, 10000, 1, 0, 0.1995635563507676
16, 100, 10000, 1, 0, 0.39704266004264355
32, 100, 10000, 1, 0, 0.8305124035105109
1, 100, 50000, 1, 0, 5.025197747163475
2, 100, 50000, 1, 0, 2.5332691511139274
4, 100, 50000, 1, 0, 1.2869450319558382
8, 100, 50000, 1, 0, 0.6987857250496745
16, 100, 50000, 1, 0, 0.5004490781575441
32, 100, 50000, 1, 0, 0.8347135214135051
