workers, n, task_time, accesses, frac, total_time
1, 100, 10000, 1, 0, 1.0180641384795308
2, 100, 10000, 1, 0, 1.068310322239995
4, 100, 10000, 1, 0, 1.0326692443341017
8, 100, 10000, 1, 0, 1.068487411364913
16, 100, 10000, 1, 0, 1.1134979389607906
32, 100, 10000, 1, 0, 1.3055217433720827
1, 100, 50000, 1, 0, 5.020170415751636
2, 100, 50000, 1, 0, 5.029573778621852
4, 100, 50000, 1, 0, 5.030046354979277
8, 100, 50000, 1, 0, 5.035428971983492
16, 100, 50000, 1, 0, 5.107764667831361
32, 100, 50000, 1, 0, 5.160325423814356
