workers, n, task_time, accesses, frac, total_time
1, 1000, 1000, 1, 0, 1.1819063611328602
2, 1000, 1000, 1, 0, 0.6793168932199478
4, 1000, 1000, 1, 0, 0.3472549091093242
8, 1000, 1000, 1, 0, 0.2396639841608703
16, 1000, 1000, 1, 0, 0.25022244499996305
32, 1000, 1000, 1, 0, 0.23759827204048634
1, 1000, 1000, 10, 0, 1.1869776877574623
2, 1000, 1000, 10, 0, 0.718987240921706
4, 1000, 1000, 10, 0, 0.478661831934005
8, 1000, 1000, 10, 0, 0.3244422231800854
16, 1000, 1000, 10, 0, 0.2891163071617484
32, 1000, 1000, 10, 0, 0.3094614767469466
1, 1000, 5000, 1, 0, 5.159540277905762
2, 1000, 5000, 1, 0, 2.657054488081485
4, 1000, 5000, 1, 0, 1.3782906793057919
8, 1000, 5000, 1, 0, 0.7032743841409683
16, 1000, 5000, 1, 0, 0.36997753474861383
32, 1000, 5000, 1, 0, 0.3280016048811376
1, 1000, 5000, 10, 0, 5.222849959973246
2, 1000, 5000, 10, 0, 2.6887468211352825
4, 1000, 5000, 10, 0, 1.3986632130108774
8, 1000, 5000, 10, 0, 0.79242113372311
16, 1000, 5000, 10, 0, 0.4442797447554767
32, 1000, 5000, 10, 0, 0.3371867258101702
1, 1000, 10000, 1, 0, 10.166208570823073
2, 1000, 10000, 1, 0, 5.204943909775466
4, 1000, 10000, 1, 0, 3.1228935080580413
8, 1000, 10000, 1, 0, 1.5706173698417842
16, 1000, 10000, 1, 0, 0.851951465010643
32, 1000, 10000, 1, 0, 0.543650436680764
1, 1000, 10000, 10, 0, 10.1896006539464
2, 1000, 10000, 10, 0, 5.262414783239365
4, 1000, 10000, 10, 0, 2.6242267820052803
8, 1000, 10000, 10, 0, 1.3533447440713644
16, 1000, 10000, 10, 0, 0.7275369903072715
32, 1000, 10000, 10, 0, 0.6182788666337729
1, 1000, 50000, 1, 0, 50.1642753649503
2, 1000, 50000, 1, 0, 25.14172114105895
4, 1000, 50000, 1, 0, 12.67928672209382
8, 1000, 50000, 1, 0, 6.33907535392791
16, 1000, 50000, 1, 0, 3.1842370401136577
32, 1000, 50000, 1, 0, 1.6301470883190632
1, 1000, 50000, 10, 0, 50.1559658581391
2, 1000, 50000, 10, 0, 25.27116521494463
4, 1000, 50000, 10, 0, 12.612160173244774
8, 1000, 50000, 10, 0, 6.319703639019281
16, 1000, 50000, 10, 0, 3.217173485085368
32, 1000, 50000, 10, 0, 1.85955476667732
