workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.10055916290730238
2, 100, 1000, 1, 0, 0.05330478213727474
4, 100, 1000, 1, 0, 0.0321913892403245
8, 100, 1000, 1, 0, 0.026659030467271805
16, 100, 1000, 1, 0, 0.05897332448512316
32, 100, 1000, 1, 0, 0.1283967224881053
1, 100, 5000, 1, 0, 0.5003981087356806
2, 100, 5000, 1, 0, 0.2531275488436222
4, 100, 5000, 1, 0, 0.1320270011201501
8, 100, 5000, 1, 0, 0.07624308671802282
16, 100, 5000, 1, 0, 0.0596265671774745
32, 100, 5000, 1, 0, 0.12143874261528254
1, 100, 10000, 1, 0, 1.0004106778651476
2, 100, 10000, 1, 0, 0.5030998233705759
4, 100, 10000, 1, 0, 0.2567846281453967
8, 100, 10000, 1, 0, 0.13899245113134384
16, 100, 10000, 1, 0, 0.08882100600749254
32, 100, 10000, 1, 0, 0.10463262908160686
1, 100, 50000, 1, 0, 5.001435457728803
2, 100, 50000, 1, 0, 2.503821637481451
4, 100, 50000, 1, 0, 1.2573358668014407
8, 100, 50000, 1, 0, 0.6385190794244409
16, 100, 50000, 1, 0, 0.34018987230956554
32, 100, 50000, 1, 0, 0.21219183318316936
