workers, n, task_time, accesses, frac, total_time
1, 100, 1000, 1, 0, 0.1005830466747284
2, 100, 1000, 1, 0, 0.10330194607377052
4, 100, 1000, 1, 0, 0.10716770496219397
8, 100, 1000, 1, 0, 0.112865736708045
16, 100, 1000, 1, 0, 0.1277828849852085
32, 100, 1000, 1, 0, 0.15733697451651096
1, 100, 5000, 1, 0, 0.5004006363451481
2, 100, 5000, 1, 0, 0.5031184274703264
4, 100, 5000, 1, 0, 0.5064917411655188
8, 100, 5000, 1, 0, 0.5142661621794105
16, 100, 5000, 1, 0, 0.5281292926520109
32, 100, 5000, 1, 0, 0.5552725540474057
1, 100, 10000, 1, 0, 1.000408816151321
2, 100, 10000, 1, 0, 1.0030253641307354
4, 100, 10000, 1, 0, 1.0067935911938548
8, 100, 10000, 1, 0, 1.0148363504558802
16, 100, 10000, 1, 0, 1.027298215776682
32, 100, 10000, 1, 0, 1.0557704865932465
1, 100, 50000, 1, 0, 5.001050744205713
2, 100, 50000, 1, 0, 5.004021973349154
4, 100, 50000, 1, 0, 5.008580967783928
8, 100, 50000, 1, 0, 5.014919089153409
16, 100, 50000, 1, 0, 5.029249998740852
32, 100, 50000, 1, 0, 5.057498353533447
