workers, n, task_time, accesses, frac, total_time
1, 40, 50000, 1, 0, 2.006150711000373
1, 40, 50000, 1, 0.1, 2.009076397996978
1, 40, 50000, 1, 0.2, 2.0122695099998964
1, 40, 50000, 1, 0.3, 2.010688772999856
1, 40, 50000, 1, 0.4, 2.0110832409991417
1, 40, 50000, 1, 0.5, 2.010185281003942
1, 40, 50000, 1, 0.6, 2.0089909799935413
1, 40, 50000, 1, 0.7, 2.041002700003446
1, 40, 50000, 1, 0.8, 2.056703419999394
1, 40, 50000, 1, 0.9, 2.025834945998213
1, 40, 50000, 1, 1, 2.009602238998923
2, 40, 50000, 1, 0, 1.004355632001534
2, 40, 50000, 1, 0.1, 1.0148202870041132
2, 40, 50000, 1, 0.2, 1.2072918490011944
2, 40, 50000, 1, 0.3, 1.3078924489964265
2, 40, 50000, 1, 0.4, 1.4076970590031124
2, 40, 50000, 1, 0.5, 1.507882238001912
2, 40, 50000, 1, 0.6, 1.6081232210053713
2, 40, 50000, 1, 0.7, 1.6951172480039531
2, 40, 50000, 1, 0.8, 1.8069768880013726
2, 40, 50000, 1, 0.9, 1.9064436699991347
2, 40, 50000, 1, 1, 2.011667888997181
3, 40, 50000, 1, 0, 0.7039547940003104
3, 40, 50000, 1, 0.1, 0.7236136770006851
3, 40, 50000, 1, 0.2, 0.7856644950006739
3, 40, 50000, 1, 0.3, 0.8925571029976709
3, 40, 50000, 1, 0.4, 1.0294279779991484
3, 40, 50000, 1, 0.5, 1.0629999009979656
3, 40, 50000, 1, 0.6, 1.4077078139962396
3, 40, 50000, 1, 0.7, 1.5439461280038813
3, 40, 50000, 1, 0.8, 1.6507940369992866
3, 40, 50000, 1, 0.9, 1.8263353089932934
3, 40, 50000, 1, 1, 2.011936153001443
4, 40, 50000, 1, 0, 0.5054221219979809
4, 40, 50000, 1, 0.1, 0.5410184189968277
4, 40, 50000, 1, 0.2, 0.6866134830052033
4, 40, 50000, 1, 0.3, 0.7239515039982507
4, 40, 50000, 1, 0.4, 0.9196543819998624
4, 40, 50000, 1, 0.5, 1.182965277999756
4, 40, 50000, 1, 0.6, 1.3080688709960668
4, 40, 50000, 1, 0.7, 1.4400526809986332
4, 40, 50000, 1, 0.8, 1.6210352150010294
4, 40, 50000, 1, 0.9, 1.8166750260061235
4, 40, 50000, 1, 1, 2.0119686289981473
5, 40, 50000, 1, 0, 0.4032786399984616
5, 40, 50000, 1, 0.1, 0.4391274160007015
5, 40, 50000, 1, 0.2, 0.5466276499937521
5, 40, 50000, 1, 0.3, 0.6725081679978757
5, 40, 50000, 1, 0.4, 0.8803438800023287
5, 40, 50000, 1, 0.5, 1.0364741399971535
5, 40, 50000, 1, 0.6, 1.269493877000059
5, 40, 50000, 1, 0.7, 1.4258606220028014
5, 40, 50000, 1, 0.8, 1.6224064249981893
5, 40, 50000, 1, 0.9, 1.8166732099998626
5, 40, 50000, 1, 1, 2.011739966001187
6, 40, 50000, 1, 0, 0.3530279279948445
6, 40, 50000, 1, 0.1, 0.38819483499537455
6, 40, 50000, 1, 0.2, 0.5172140569993644
6, 40, 50000, 1, 0.3, 0.660158890997991
6, 40, 50000, 1, 0.4, 0.8673115489946213
6, 40, 50000, 1, 0.5, 1.0343476560010458
6, 40, 50000, 1, 0.6, 1.2492219890045817
6, 40, 50000, 1, 0.7, 1.4277521570038516
6, 40, 50000, 1, 0.8, 1.619562034997216
6, 40, 50000, 1, 0.9, 1.8163270020013442
6, 40, 50000, 1, 1, 2.010564105003141
7, 40, 50000, 1, 0, 0.3024294720016769
7, 40, 50000, 1, 0.1, 0.3433911799947964
7, 40, 50000, 1, 0.2, 0.5076463150035124
7, 40, 50000, 1, 0.3, 0.671977785998024
7, 40, 50000, 1, 0.4, 0.8517002279986627
7, 40, 50000, 1, 0.5, 1.0353099409985589
7, 40, 50000, 1, 0.6, 1.229694200999802
7, 40, 50000, 1, 0.7, 1.4264565850025974
7, 40, 50000, 1, 0.8, 1.6210918560027494
7, 40, 50000, 1, 0.9, 1.8159372130030533
7, 40, 50000, 1, 1, 2.0091853509948123
8, 40, 50000, 1, 0, 0.2545487819952541
8, 40, 50000, 1, 0.1, 0.31427455600351095
8, 40, 50000, 1, 0.2, 0.48784935400180984
8, 40, 50000, 1, 0.3, 0.6510653770019417
8, 40, 50000, 1, 0.4, 0.8425395239974023
8, 40, 50000, 1, 0.5, 1.0339547250041505
8, 40, 50000, 1, 0.6, 1.231196294997062
8, 40, 50000, 1, 0.7, 1.4261258820042713
8, 40, 50000, 1, 0.8, 1.6214618809972308
8, 40, 50000, 1, 0.9, 1.8158332189996145
8, 40, 50000, 1, 1, 2.010513120003452
