workers, n, task_time, accesses, frac, total_time
1, 100, 100, 10, 0, 0.02151277400116669
1, 100, 100, 10, 0.1, 0.02258736499788938
1, 100, 100, 10, 0.2, 0.02135905199975241
1, 100, 100, 10, 0.3, 0.02270623599906685
1, 100, 100, 10, 0.4, 0.0202603649959201
1, 100, 100, 10, 0.5, 0.020497268997132778
1, 100, 100, 10, 0.6, 0.022534843999892473
1, 100, 100, 10, 0.7, 0.022544412000570446
1, 100, 100, 10, 0.8, 0.026489165997190867
1, 100, 100, 10, 0.9, 0.023844522998842876
1, 100, 100, 10, 1, 0.024819379999826197
2, 100, 100, 10, 0, 0.014890482001646888
2, 100, 100, 10, 0.1, 0.013845713998307474
2, 100, 100, 10, 0.2, 0.011989659004029818
2, 100, 100, 10, 0.3, 0.015140657000301871
2, 100, 100, 10, 0.4, 0.014766861997486558
2, 100, 100, 10, 0.5, 0.01752374100033194
2, 100, 100, 10, 0.6, 0.01937595400522696
2, 100, 100, 10, 0.7, 0.019785368000157177
2, 100, 100, 10, 0.8, 0.018619911999849137
2, 100, 100, 10, 0.9, 0.019507046999933664
2, 100, 100, 10, 1, 0.021662375998857897
3, 100, 100, 10, 0, 0.013612859998829663
3, 100, 100, 10, 0.1, 0.01371035999909509
3, 100, 100, 10, 0.2, 0.021376441996835638
3, 100, 100, 10, 0.3, 0.02305712400266202
3, 100, 100, 10, 0.4, 0.023977292999916244
3, 100, 100, 10, 0.5, 0.022917926995432936
3, 100, 100, 10, 0.6, 0.0326873060039361
3, 100, 100, 10, 0.7, 0.019789558995398693
3, 100, 100, 10, 0.8, 0.019145753998600412
3, 100, 100, 10, 0.9, 0.020520666002994403
3, 100, 100, 10, 1, 0.024541197999496944
4, 100, 100, 10, 0, 0.01609588800056372
4, 100, 100, 10, 0.1, 0.02115413499996066
4, 100, 100, 10, 0.2, 0.016689477000909392
4, 100, 100, 10, 0.3, 0.020922188996337354
4, 100, 100, 10, 0.4, 0.02039243600302143
4, 100, 100, 10, 0.5, 0.024077166999632027
4, 100, 100, 10, 0.6, 0.021058660000562668
4, 100, 100, 10, 0.7, 0.02202848799788626
4, 100, 100, 10, 0.8, 0.019602731001214124
4, 100, 100, 10, 0.9, 0.01965958299842896
4, 100, 100, 10, 1, 0.027882096997927874
5, 100, 100, 10, 0, 0.014370228003826924
5, 100, 100, 10, 0.1, 0.013276081997901201
5, 100, 100, 10, 0.2, 0.014135069999611005
5, 100, 100, 10, 0.3, 0.018827482999768108
5, 100, 100, 10, 0.4, 0.018687659998249728
5, 100, 100, 10, 0.5, 0.018768745998386294
5, 100, 100, 10, 0.6, 0.02062780399865005
5, 100, 100, 10, 0.7, 0.020238643999618944
5, 100, 100, 10, 0.8, 0.019580940002924763
5, 100, 100, 10, 0.9, 0.022503972999402322
5, 100, 100, 10, 1, 0.021247931996185798
6, 100, 100, 10, 0, 0.013624592997075524
6, 100, 100, 10, 0.1, 0.013451874001475517
6, 100, 100, 10, 0.2, 0.013110207000863738
6, 100, 100, 10, 0.3, 0.017968075997487176
6, 100, 100, 10, 0.4, 0.018989866999618243
6, 100, 100, 10, 0.5, 0.01808003300538985
6, 100, 100, 10, 0.6, 0.02155886899709003
6, 100, 100, 10, 0.7, 0.02015769699937664
6, 100, 100, 10, 0.8, 0.019266371004050598
6, 100, 100, 10, 0.9, 0.02408659600041574
6, 100, 100, 10, 1, 0.03196290299820248
7, 100, 100, 10, 0, 0.028982110001379624
7, 100, 100, 10, 0.1, 0.022686470998451114
7, 100, 100, 10, 0.2, 0.020702396002889145
7, 100, 100, 10, 0.3, 0.02150739599892404
7, 100, 100, 10, 0.4, 0.0179784119973192
7, 100, 100, 10, 0.5, 0.024043014003837015
