workers, n, task_time, accesses, frac, total_time
1, 100, 100, 10, 0, 0.01986687400494702
1, 100, 100, 10, 0.1, 0.023219296999741346
1, 100, 100, 10, 0.2, 0.022544691993971355
1, 100, 100, 10, 0.3, 0.022495941004308406
1, 100, 100, 10, 0.4, 0.022480785999505315
1, 100, 100, 10, 0.5, 0.022257012002228294
1, 100, 100, 10, 0.6, 0.02319331499893451
1, 100, 100, 10, 0.7, 0.022405146999517456
1, 100, 100, 10, 0.8, 0.024380282004131004
1, 100, 100, 10, 0.9, 0.02350550999835832
1, 100, 100, 10, 1, 0.0249812039983226
2, 100, 100, 10, 0, 0.0144661910017021
2, 100, 100, 10, 0.1, 0.014295148001110647
2, 100, 100, 10, 0.2, 0.013435250999464188
2, 100, 100, 10, 0.3, 0.013587926994659938
2, 100, 100, 10, 0.4, 0.015065366998896934
2, 100, 100, 10, 0.5, 0.017909826994582545
2, 100, 100, 10, 0.6, 0.022554538998520002
2, 100, 100, 10, 0.7, 0.02020951900340151
2, 100, 100, 10, 0.8, 0.01882629600004293
2, 100, 100, 10, 0.9, 0.019682769998325966
2, 100, 100, 10, 1, 0.022839494995423593
3, 100, 100, 10, 0, 0.01913171599881025
3, 100, 100, 10, 0.1, 0.014041481997992378
3, 100, 100, 10, 0.2, 0.015047975997731555
3, 100, 100, 10, 0.3, 0.018899001996032894
3, 100, 100, 10, 0.4, 0.02049887500470504
3, 100, 100, 10, 0.5, 0.018837192001228686
3, 100, 100, 10, 0.6, 0.034439365001162514
3, 100, 100, 10, 0.7, 0.021182769996812567
3, 100, 100, 10, 0.8, 0.018877210997743532
3, 100, 100, 10, 0.9, 0.020481764993746765
3, 100, 100, 10, 1, 0.020840124001551885
4, 100, 100, 10, 0, 0.01795969500381034
4, 100, 100, 10, 0.1, 0.020387197997479234
4, 100, 100, 10, 0.2, 0.016188358000363223
4, 100, 100, 10, 0.3, 0.01789509099762654
4, 100, 100, 10, 0.4, 0.016530446002434473
4, 100, 100, 10, 0.5, 0.018058102003124077
4, 100, 100, 10, 0.6, 0.018506767999497242
4, 100, 100, 10, 0.7, 0.0190029970035539
4, 100, 100, 10, 0.8, 0.01942777600197587
4, 100, 100, 10, 0.9, 0.024336002999916673
4, 100, 100, 10, 1, 0.02653435300453566
5, 100, 100, 10, 0, 0.017252403995371424
5, 100, 100, 10, 0.1, 0.018276638998941053
5, 100, 100, 10, 0.2, 0.019307368995214347
5, 100, 100, 10, 0.3, 0.018077658998663537
5, 100, 100, 10, 0.4, 0.018419953994452953
5, 100, 100, 10, 0.5, 0.02298092500132043
5, 100, 100, 10, 0.6, 0.01998267199815018
5, 100, 100, 10, 0.7, 0.02269212799728848
5, 100, 100, 10, 0.8, 0.019058730998949613
5, 100, 100, 10, 0.9, 0.020132413003011607
5, 100, 100, 10, 1, 0.021512005005206447
6, 100, 100, 10, 0, 0.01732811299734749
6, 100, 100, 10, 0.1, 0.013369460997637361
6, 100, 100, 10, 0.2, 0.01341185400087852
6, 100, 100, 10, 0.3, 0.019743882003240287
6, 100, 100, 10, 0.4, 0.01901207600167254
6, 100, 100, 10, 0.5, 0.020032050997542683
6, 100, 100, 10, 0.6, 0.021657905999745708
6, 100, 100, 10, 0.7, 0.022695551000651903
6, 100, 100, 10, 0.8, 0.01893469100468792
6, 100, 100, 10, 0.9, 0.05909419700037688
6, 100, 100, 10, 1, 0.021339077000448015
7, 100, 100, 10, 0, 0.015480579000723083
7, 100, 100, 10, 0.1, 0.020791025999642443
7, 100, 100, 10, 0.2, 0.016023461997974664
7, 100, 100, 10, 0.3, 0.017676485003903508
7, 100, 100, 10, 0.4, 0.019962767000833992
7, 100, 100, 10, 0.5, 0.01862047200120287
7, 100, 100, 10, 0.6, 0.01986058799957391
7, 100, 100, 10, 0.7, 0.019811628997558728
7, 100, 100, 10, 0.8, 0.022866802995849866
7, 100, 100, 10, 0.9, 0.020362893003039062
7, 100, 100, 10, 1, 0.02085311400151113
8, 100, 100, 10, 0, 0.020522970997262746
8, 100, 100, 10, 0.1, 0.030632899004558567
8, 100, 100, 10, 0.2, 0.02217718199972296
8, 100, 100, 10, 0.3, 0.02387588200508617
8, 100, 100, 10, 0.4, 0.02088230899971677
8, 100, 100, 10, 0.5, 0.02329137399647152
8, 100, 100, 10, 0.6, 0.022008302999893203
8, 100, 100, 10, 0.7, 0.019988399995781947
8, 100, 100, 10, 0.8, 0.019301641994388774
8, 100, 100, 10, 0.9, 0.01964261099783471
8, 100, 100, 10, 1, 0.026259315003699157
1, 100, 100, 10, 0, 0.01997226600360591
1, 100, 100, 10, 0.1, 0.018731031006609555
1, 100, 100, 10, 0.2, 0.022601892000238877
1, 100, 100, 10, 0.3, 0.02276371599873528
1, 100, 100, 10, 0.4, 0.0227794999955222
1, 100, 100, 10, 0.5, 0.021811489001265727
1, 100, 100, 10, 0.6, 0.02261760600231355
1, 100, 100, 10, 0.7, 0.018901865994848777
1, 100, 100, 10, 0.8, 0.018640864996996243
1, 100, 100, 10, 0.9, 0.02358247600204777
1, 100, 100, 10, 1, 0.02219457300088834
2, 100, 100, 10, 0, 0.015523182999459095
2, 100, 100, 10, 0.1, 0.014458928002568427
2, 100, 100, 10, 0.2, 0.05235617699509021
2, 100, 100, 10, 0.3, 0.01576616300008027
2, 100, 100, 10, 0.4, 0.01937322899902938
2, 100, 100, 10, 0.5, 0.03623277199949371
2, 100, 100, 10, 0.6, 0.021449775995279197
2, 100, 100, 10, 0.7, 0.020035681998706423
2, 100, 100, 10, 0.8, 0.02680995099944994
2, 100, 100, 10, 0.9, 0.023791582992998883
2, 100, 100, 10, 1, 0.02548141299484996
3, 100, 100, 10, 0, 0.019780967995757237
3, 100, 100, 10, 0.1, 0.014616631997341756
3, 100, 100, 10, 0.2, 0.019833210004435387
3, 100, 100, 10, 0.3, 0.019428264997259248
3, 100, 100, 10, 0.4, 0.026642679003998637
3, 100, 100, 10, 0.5, 0.023128432003431953
3, 100, 100, 10, 0.6, 0.022307088001980446
3, 100, 100, 10, 0.7, 0.024386637996940408
3, 100, 100, 10, 0.8, 0.023566131996631157
3, 100, 100, 10, 0.9, 0.021733125002356246
3, 100, 100, 10, 1, 0.021453826993820257
4, 100, 100, 10, 0, 0.014485747000435367
4, 100, 100, 10, 0.1, 0.0203828679950675
4, 100, 100, 10, 0.2, 0.018693386002269108
4, 100, 100, 10, 0.3, 0.019841939996695146
4, 100, 100, 10, 0.4, 0.02380604000063613
4, 100, 100, 10, 0.5, 0.02315783499943791
4, 100, 100, 10, 0.6, 0.02163143499637954
4, 100, 100, 10, 0.7, 0.020542247002595104
4, 100, 100, 10, 0.8, 0.019688846994540654
4, 100, 100, 10, 0.9, 0.019963536004070193
4, 100, 100, 10, 1, 0.020749538998643402
5, 100, 100, 10, 0, 0.018632275001436938
5, 100, 100, 10, 0.1, 0.019923235995520372
5, 100, 100, 10, 0.2, 0.01585430400155019
5, 100, 100, 10, 0.3, 0.017631226997764315
5, 100, 100, 10, 0.4, 0.01643266600149218
5, 100, 100, 10, 0.5, 0.06789674999890849
5, 100, 100, 10, 0.6, 0.01981952099595219
5, 100, 100, 10, 0.7, 0.022123823000583798
5, 100, 100, 10, 0.8, 0.020133321995672304
5, 100, 100, 10, 0.9, 0.019676204996358138
5, 100, 100, 10, 1, 0.02104671699635219
6, 100, 100, 10, 0, 0.014775172996451147
6, 100, 100, 10, 0.1, 0.03168618900235742
6, 100, 100, 10, 0.2, 0.018643449002411216
6, 100, 100, 10, 0.3, 0.029148544002964627
6, 100, 100, 10, 0.4, 0.025882237001496833
6, 100, 100, 10, 0.5, 0.024066481993941125
6, 100, 100, 10, 0.6, 0.020864778001850937
6, 100, 100, 10, 0.7, 0.02293231499788817
6, 100, 100, 10, 0.8, 0.01840479899692582
6, 100, 100, 10, 0.9, 0.023188774997834116
6, 100, 100, 10, 1, 0.02125268099916866
7, 100, 100, 10, 0, 0.013865968998288736
7, 100, 100, 10, 0.1, 0.01343636900128331
7, 100, 100, 10, 0.2, 0.015134230998228304
7, 100, 100, 10, 0.3, 0.02982971500023268
7, 100, 100, 10, 0.4, 0.020138141000643373
7, 100, 100, 10, 0.5, 0.022675505999359302
7, 100, 100, 10, 0.6, 0.02274444000067888
7, 100, 100, 10, 0.7, 0.02029717099503614
7, 100, 100, 10, 0.8, 0.01861453499441268
7, 100, 100, 10, 0.9, 0.020512775001407135
7, 100, 100, 10, 1, 0.020872670000244398
8, 100, 100, 10, 0, 0.01529270299943164
8, 100, 100, 10, 0.1, 0.017145824000181165
8, 100, 100, 10, 0.2, 0.018324620003113523
8, 100, 100, 10, 0.3, 0.03279018300236203
8, 100, 100, 10, 0.4, 0.03448790499533061
8, 100, 100, 10, 0.5, 0.02270602599310223
8, 100, 100, 10, 0.6, 0.019610832998296246
8, 100, 100, 10, 0.7, 0.022787951995269395
8, 100, 100, 10, 0.8, 0.027378744998713955
8, 100, 100, 10, 0.9, 0.025060195999685675
8, 100, 100, 10, 1, 0.02162298499752069
1, 100, 100, 10, 0, 0.021870504999242257
1, 100, 100, 10, 0.1, 0.01971552599570714
1, 100, 100, 10, 0.2, 0.022137302003102377
1, 100, 100, 10, 0.3, 0.022583732999919448
1, 100, 100, 10, 0.4, 0.023521573006291874
1, 100, 100, 10, 0.5, 0.022279151002294384
1, 100, 100, 10, 0.6, 0.026869175999308936
1, 100, 100, 10, 0.7, 0.02317599399975734
1, 100, 100, 10, 0.8, 0.02210510499571683
1, 100, 100, 10, 0.9, 0.02280206000432372
1, 100, 100, 10, 1, 0.024640374002046883
2, 100, 100, 10, 0, 0.01959721299499506
2, 100, 100, 10, 0.1, 0.02113024899881566
2, 100, 100, 10, 0.2, 0.01687295099691255
2, 100, 100, 10, 0.3, 0.014945169001293834
2, 100, 100, 10, 0.4, 0.014878608999424614
2, 100, 100, 10, 0.5, 0.018469820999598596
2, 100, 100, 10, 0.6, 0.021994404996803496
2, 100, 100, 10, 0.7, 0.01950173899967922
2, 100, 100, 10, 0.8, 0.01912605800316669
2, 100, 100, 10, 0.9, 0.019774193002376705
2, 100, 100, 10, 1, 0.022243043000344187
3, 100, 100, 10, 0, 0.016495385003509
3, 100, 100, 10, 0.1, 0.015357168005721178
3, 100, 100, 10, 0.2, 0.015751425999042112
3, 100, 100, 10, 0.3, 0.018053981999401003
3, 100, 100, 10, 0.4, 0.021760923002148047
3, 100, 100, 10, 0.5, 0.0205854099986027
3, 100, 100, 10, 0.6, 0.022090857004513964
3, 100, 100, 10, 0.7, 0.01955824200558709
3, 100, 100, 10, 0.8, 0.020567670006130356
3, 100, 100, 10, 0.9, 0.02186659399740165
3, 100, 100, 10, 1, 0.03091296600177884
4, 100, 100, 10, 0, 0.017025276996719185
4, 100, 100, 10, 0.1, 0.01394901100138668
4, 100, 100, 10, 0.2, 0.013567393005359918
4, 100, 100, 10, 0.3, 0.017672155001491774
4, 100, 100, 10, 0.4, 0.02095054399978835
4, 100, 100, 10, 0.5, 0.01879444799851626
4, 100, 100, 10, 0.6, 0.02022600199416047
4, 100, 100, 10, 0.7, 0.02441471399652073
4, 100, 100, 10, 0.8, 0.09285749099944951
4, 100, 100, 10, 0.9, 0.022863101999973878
4, 100, 100, 10, 1, 0.022776846002670936
5, 100, 100, 10, 0, 0.018853674999263603
5, 100, 100, 10, 0.1, 0.018419605999952182
5, 100, 100, 10, 0.2, 0.026698412002588157
5, 100, 100, 10, 0.3, 0.022555028001079336
5, 100, 100, 10, 0.4, 0.018897814996307716
5, 100, 100, 10, 0.5, 0.02951298099651467
5, 100, 100, 10, 0.6, 0.020722160996228922
5, 100, 100, 10, 0.7, 0.019854231999488547
5, 100, 100, 10, 0.8, 0.018816938005329575
5, 100, 100, 10, 0.9, 0.024408009005128406
5, 100, 100, 10, 1, 0.02164226099557709
6, 100, 100, 10, 0, 0.013882451006793417
6, 100, 100, 10, 0.1, 0.013507677998859435
6, 100, 100, 10, 0.2, 0.014575075001630466
6, 100, 100, 10, 0.3, 0.01778292400558712
6, 100, 100, 10, 0.4, 0.017251215998840053
6, 100, 100, 10, 0.5, 0.025584151000657585
6, 100, 100, 10, 0.6, 0.023011307006527204
6, 100, 100, 10, 0.7, 0.019706376995600294
6, 100, 100, 10, 0.8, 0.019250936005846597
6, 100, 100, 10, 0.9, 0.0197803400005796
6, 100, 100, 10, 1, 0.029977919002703857
7, 100, 100, 10, 0, 0.03508540499751689
7, 100, 100, 10, 0.1, 0.02577041999757057
7, 100, 100, 10, 0.2, 0.031466534004721325
7, 100, 100, 10, 0.3, 0.024891945999115705
7, 100, 100, 10, 0.4, 0.022267349006142467
7, 100, 100, 10, 0.5, 0.01986359100556001
7, 100, 100, 10, 0.6, 0.018733616001554765
