workers, n, task_time, accesses, frac, total_time
1, 20, 100, 1, 0, 0.004278043001249898
1, 20, 100, 1, 0.01, 0.00393735399848083
1, 20, 100, 1, 0.05, 0.0031242500044754706
1, 20, 100, 1, 0.1, 0.003078015004575718
1, 20, 100, 1, 0.15, 0.003105602998402901
1, 20, 100, 1, 0.2, 0.003264633000071626
1, 20, 100, 1, 0.3, 0.0032896369957597926
1, 20, 100, 1, 0.4, 0.0038823880022391677
1, 20, 100, 1, 0.5, 0.003542464997735806
2, 20, 100, 1, 0, 0.0020339440015959553
2, 20, 100, 1, 0.01, 0.0018751930037979037
2, 20, 100, 1, 0.05, 0.002346348002902232
2, 20, 100, 1, 0.1, 0.0018788939996738918
2, 20, 100, 1, 0.15, 0.001949994002643507
2, 20, 100, 1, 0.2, 0.0018610849947435781
2, 20, 100, 1, 0.3, 0.0019190539969713427
2, 20, 100, 1, 0.4, 0.002031709998846054
2, 20, 100, 1, 0.5, 0.0023838540000724606
3, 20, 100, 1, 0, 0.0017298509992542677
3, 20, 100, 1, 0.01, 0.002477371999702882
3, 20, 100, 1, 0.05, 0.001501327998994384
3, 20, 100, 1, 0.1, 0.0015201149944914505
3, 20, 100, 1, 0.15, 0.001749057999404613
3, 20, 100, 1, 0.2, 0.0018010209969361313
3, 20, 100, 1, 0.3, 0.001889022001705598
3, 20, 100, 1, 0.4, 0.0020634179963963106
3, 20, 100, 1, 0.5, 0.0023797329995431937
4, 20, 100, 1, 0, 0.0018005320016527548
4, 20, 100, 1, 0.01, 0.0017390700013493188
4, 20, 100, 1, 0.05, 0.0014571880019502714
4, 20, 100, 1, 0.1, 0.0014825399994151667
4, 20, 100, 1, 0.15, 0.0022364169999491423
4, 20, 100, 1, 0.2, 0.001989804004551843
4, 20, 100, 1, 0.3, 0.001887275000626687
4, 20, 100, 1, 0.4, 0.0024950430015451275
4, 20, 100, 1, 0.5, 0.002264144000946544
5, 20, 100, 1, 0, 0.0013931419962318614
5, 20, 100, 1, 0.01, 0.002384482002526056
5, 20, 100, 1, 0.05, 0.0018158270031563006
5, 20, 100, 1, 0.1, 0.0018710030053625815
5, 20, 100, 1, 0.15, 0.0019766740006161854
5, 20, 100, 1, 0.2, 0.0019394480041228235
5, 20, 100, 1, 0.3, 0.0024020819982979447
5, 20, 100, 1, 0.4, 0.003741027001524344
5, 20, 100, 1, 0.5, 0.002729223997448571
6, 20, 100, 1, 0, 0.0014457330034929328
6, 20, 100, 1, 0.01, 0.0015485410040128045
6, 20, 100, 1, 0.05, 0.0022394900006474927
6, 20, 100, 1, 0.1, 0.0016557480048504658
6, 20, 100, 1, 0.15, 0.002630536000651773
6, 20, 100, 1, 0.2, 0.0019601910025812685
6, 20, 100, 1, 0.3, 0.0020497289951890707
